Acorn Squash
Apples
Beets
Bok Choy (baby)
Brussel Sprouts
Buternut squash
Cabbage (green/red/savoy)
Carrots
Celeriac/Celery Root
Chards
Collard Greens
Escarole
Garlic
Hubbard squash
Kale
Kohlrabi (greens)
Leeks
Mint
Mizuna
Mustard greens
Onions (yellow/storage)
Oregano
Parsley
Parsnips
Pears
Potatoes
Pumpkins
Quinces
Rosemary
Sage
Spinach
Sunchokes
Sweet potatoes (yams)
