Acorn Squash
Apples
Artichokes
Arugula
Asian pears
Basil
Beets
Beet green
Blueberries
Bok Choy (baby)
Broccoli
Buternut squash
Cabbage (green/red/savoy)
Cabbage (napa)
Cataloupes
Carrots
Cauliflower
Celery
Chards
Cilantro/Coliander
Collard Greens
Corn
Cucumber
Currants
Dill
Endive (Curly/Fresee)
Escarole
Fennel
Garlic
Grapes
Green Beans
Green Onions/Scallions/Chives
Green Peas (shell)
Honeydew melon
Hubbard squash
Kale
Kohlrabi (greens)
Kohlrabi (root)
Leeks
Lettuce
Mint
Mustard greens
Nectarines
Onions (yellow/storage)
Onions (sweet)
Oregano
Parsley
Peaches
Pears
Peppers (sweet)
Plums
Pluots
Potatoes
Pumpkins
Quinces
Radicchio
Radishes
Rapini
Rosemary
Sage
Spinach
Strawberries
Summer squash (white scallop/yellow)
Sweet potatoes (yams)
Tomatillos
Tomatoes
Turnips
Watermelon
Zucchini
