Apples
Apricots
Artichokes
Arugula
Basil
Beets
Beet green
Blackberries
Blueberries
Bok Choy (baby)
Broccoli
Cabbage (green/red/savoy)
Cabbage (napa)
Cantaloupes
Carrots
Cauliflower
Chards
Cherries
Cilantro/Coliander
Collard Greens
Corn
Cucumber
Currants
Dill
Endive (Curly/Fresee)
Escarole
Fennel
Garlic
Grapes
Green Beans
Green Onions/Scallions/Chives
Green Peas (shell)
Green Peas (snap/snow)
Honeydew melon
Kale
Kohlrabi (greens)
Kohlrabi (root)
Lettuce
Mint
Mustard greens
Nectarines
Onions (yellow/storage)
Onions (sweet)
Oregano
Parsley
Peaches
Pears
Pea Vines
Peppers (sweet)
Plums
Pluots
Potatoes
Radicchio
Radishes
Raspberries
Rhubarb
Rosemary
Sage
Spinach
Strawberries
Summer squash (white scallop/yellow)
Tomatillos
Tomatoes
Turnips
Watercress
Watermelon
Zucchini
