Acorn Squash
Apples
Beets
Brussel Sprouts
Butternut Squash
Carrots
Celeriac/Celery Root
Chards
Garlic
Hubbard Squash
Kale
Leeks
Mint
Mizuna
Onions (yellow/storage)
Oregano
Parsnips
Pears
Potatoes
Rosemary
Sage
Sunchokes
Sweet Potatoes/Yams
