Acorn Squash
Apples
Artichokes
Arugula
Asian pears
Beets
Beet green
Bok Choy (baby)
Broccoli
Brussel Sprouts
Buternut squash
Cabbage (green/red/savoy)
Cabbage (napa)
Carrots
Cauliflower
Celeriac/Celery Root
Celery
Chards
Cilantro/Coliander
Collard Greens
Corn
Cucumber
Dill
Endive (Curly/Fresee)
Escarole
Fennel
Garlic
Grapes
Green Beans
Green Peas (shell)
Hubbard squash
Kale
Kohlrabi (greens)
Kohlrabi (root)
Leeks
Lettuce
Mint
Mizuna
Mustard greens
Onions (yellow/storage)
Oregano
Parsley
Parsnips
Pears
Peppers (sweet)
Potatoes
Pumpkins
Quinces
Radicchio
Radishes
Rapini
Rosemary
Sage
Spinach
Summer squash (white scallop/yellow)
Sunchokes
Sweet potatoes (yams)
Tomatillos
Tomatoes
Turnips
Watermelon
Zucchini
