Acorn Squash
Apples
Asian pears
Beets
Bok Choy (baby)
Broccoli
Brussel Sprouts
Buternut squash
Cabbage (green/red/savoy)
Carrots
Cauliflower
Celeriac/Celery Root
Chards
Cilantro/Coliander
Collard Greens
Escarole
Fennel
Garlic
Grapes
Hubbard squash
Kale
Kohlrabi (greens)
Kohlrabi (root)
Leeks
Lettuce
Mint
Mizuna
Mustard greens
Onions (yellow/storage)
Oregano
Parsley
Parsnips
Pears
Potatoes
Pumpkins
Quinces
Radicchio
Radishes
Rapini
Rosemary
Sage
Spinach
Sunchokes
Sweet potatoes (yams)
Tomatoes
